Country,2023,2022,2021,2020,2019
Angola,0.86%,3.05%,1.20%,-5.64%,-0.70%
Micronesia,0.78%,-0.78%,2.80%,-1.96%,4.08%
Moldova,0.78%,-5.02%,13.93%,-8.28%,3.55%
Switzerland,0.72%,2.57%,5.39%,-2.14%,1.14%
Nauru,0.70%,2.16%,7.75%,1.57%,8.55%
France,0.70%,2.45%,6.44%,-7.54%,1.84%
New Zealand,0.63%,2.77%,4.55%,-0.42%,2.36%
Colombia,0.61%,7.29%,10.80%,-7.19%,3.19%
South Africa,0.60%,1.91%,4.70%,-5.96%,0.26%
Puerto Rico,0.56%,3.57%,0.39%,-4.18%,1.68%
Norway,0.51%,3.01%,3.91%,-1.28%,1.12%
Palau,0.45%,-0.36%,-14.16%,-7.57%,0.91%
Tunisia,0.42%,2.60%,4.61%,-8.59%,1.59%
Uruguay,0.37%,4.71%,5.56%,-7.38%,0.93%
Chile,0.22%,2.06%,11.33%,-6.14%,0.63%
Poland,0.16%,5.64%,6.94%,-2.02%,4.45%
Netherlands,0.12%,4.33%,6.19%,-3.89%,1.96%
United Kingdom,0.10%,4.35%,8.67%,-10.36%,1.64%
Pakistan,-0.00%,4.77%,6.51%,-1.27%,2.50%
Sweden,-0.20%,2.66%,6.15%,-2.17%,1.99%
Latvia,-0.28%,2.95%,6.73%,-3.51%,0.59%
Germany,-0.30%,1.81%,3.16%,-3.83%,1.08%
Czech Republic,-0.31%,2.35%,3.55%,-5.50%,3.03%
Lithuania,-0.34%,2.44%,6.28%,-0.02%,4.67%
Sao Tome And Principe,-0.47%,0.07%,1.90%,2.62%,2.01%
Peru,-0.55%,2.73%,13.36%,-10.93%,2.24%
Saudi Arabia,-0.75%,7.49%,5.08%,-3.58%,1.10%
Austria,-0.83%,4.81%,4.24%,-6.63%,1.45%
Hungary,-0.91%,4.58%,7.06%,-4.49%,4.86%
Finland,-1.04%,1.34%,2.84%,-2.36%,1.22%
Luxembourg,-1.10%,1.38%,7.17%,-0.91%,2.92%
Argentina,-1.55%,4.96%,10.72%,-9.90%,-2.00%
Libya,-1.67%,1.34%,153.49%,-58.32%,-5.99%
